= Coverage for C:\Users\dipeck.REDMOND\source\repos\diondrapeck\azure-sdk-for-python\sdk\ml\azure-ai-ml\azure\ =
------------------------------ Detailed Coverage ------------------------------
| Name                                                                                                                     |  Status |
|   OperationsContainer (L118)                                                                                             |  MISSED |
|     OperationsContainer.__init__ (L119)                                                                                  |  MISSED |
|     OperationsContainer.all_operations (L123)                                                                            |  MISSED |
|     OperationsContainer.add (L126)                                                                                       |  MISSED |
|     OperationsContainer.get_operation (L129)                                                                             |  MISSED |
|--------------------------------------------------------------------------------------------------------------------------|---------|
| ai\ml\_user_agent.py (module)                                                                                            |  MISSED |
|--------------------------------------------------------------------------------------------------------------------------|---------|
| ai\ml\_version.py (module)                                                                                               |  MISSED |
|--------------------------------------------------------------------------------------------------------------------------|---------|
| ai\ml\exceptions.py (module)                                                                                             | COVERED |
|   ValidationErrorType (L17)                                                                                              | COVERED |
|   ErrorCategory (L46)                                                                                                    |  MISSED |
|   ErrorTarget (L52)                                                                                                      |  MISSED |
|   MlException (L93)                                                                                                      | COVERED |
|     MlException.__init__ (L109)                                                                                          |  MISSED |
|     MlException.target (L124)                                                                                            | COVERED |
|     MlException.target (L133)                                                                                            |  MISSED |
|     MlException.no_personal_data_message (L137)                                                                          | COVERED |
|     MlException.no_personal_data_message (L146)                                                                          |  MISSED |
|     MlException.error_category (L150)                                                                                    | COVERED |
|     MlException.error_category (L159)                                                                                    |  MISSED |
|   DeploymentException (L163)                                                                                             | COVERED |
|     DeploymentException.__init__ (L177)                                                                                  |  MISSED |
|   ComponentException (L196)                                                                                              | COVERED |
|     ComponentException.__init__ (L210)                                                                                   |  MISSED |
|   JobException (L229)                                                                                                    | COVERED |
|     JobException.__init__ (L243)                                                                                         |  MISSED |
|   ModelException (L262)                                                                                                  | COVERED |
|     ModelException.__init__ (L276)                                                                                       |  MISSED |
|   AssetException (L295)                                                                                                  | COVERED |
|     AssetException.__init__ (L309)                                                                                       |  MISSED |
|   ScheduleException (L328)                                                                                               | COVERED |
|     ScheduleException.__init__ (L342)                                                                                    |  MISSED |
|   ValidationException (L361)                                                                                             |  MISSED |
|     ValidationException.__init__ (L362)                                                                                  | COVERED |
|     ValidationException.error_type (L405)                                                                                | COVERED |
|     ValidationException.error_type (L414)                                                                                |  MISSED |
|   AssetPathException (L418)                                                                                              | COVERED |
|     AssetPathException.__init__ (L433)                                                                                   |  MISSED |
|   EmptyDirectoryError (L452)                                                                                             | COVERED |
|     EmptyDirectoryError.__init__ (L455)                                                                                  |  MISSED |
|   UserErrorException (L471)                                                                                              | COVERED |
|     UserErrorException.__init__ (L474)                                                                                   |  MISSED |
|   CannotSetAttributeError (L489)                                                                                         | COVERED |
|     CannotSetAttributeError.__init__ (L492)                                                                              |  MISSED |
|   UnsupportedParameterKindError (L500)                                                                                   | COVERED |
|     UnsupportedParameterKindError.__init__ (L503)                                                                        |  MISSED |
|   KeywordError (L509)                                                                                                    | COVERED |
|     KeywordError.__init__ (L512)                                                                                         |  MISSED |
|   UnexpectedKeywordError (L516)                                                                                          | COVERED |
|     UnexpectedKeywordError.__init__ (L519)                                                                               |  MISSED |
|   UnexpectedAttributeError (L525)                                                                                        | COVERED |
|     UnexpectedAttributeError.__init__ (L528)                                                                             |  MISSED |
|   MissingPositionalArgsError (L534)                                                                                      | COVERED |
|     MissingPositionalArgsError.__init__ (L537)                                                                           |  MISSED |
|   TooManyPositionalArgsError (L546)                                                                                      | COVERED |
|     TooManyPositionalArgsError.__init__ (L549)                                                                           |  MISSED |
|   MultipleValueError (L558)                                                                                              | COVERED |
|     MultipleValueError.__init__ (L561)                                                                                   |  MISSED |
|   ParamValueNotExistsError (L566)                                                                                        | COVERED |
|     ParamValueNotExistsError.__init__ (L569)                                                                             |  MISSED |
|   UnsupportedOperationError (L574)                                                                                       | COVERED |
|     UnsupportedOperationError.__init__ (L577)                                                                            |  MISSED |
|   LocalEndpointNotFoundError (L582)                                                                                      | COVERED |
|     LocalEndpointNotFoundError.__init__ (L585)                                                                           |  MISSED |
|   LocalEndpointInFailedStateError (L606)                                                                                 | COVERED |
|     LocalEndpointInFailedStateError.__init__ (L609)                                                                      |  MISSED |
|   DockerEngineNotAvailableError (L627)                                                                                   | COVERED |
|     DockerEngineNotAvailableError.__init__ (L630)                                                                        |  MISSED |
|   MultipleLocalDeploymentsFoundError (L640)                                                                              | COVERED |
|     MultipleLocalDeploymentsFoundError.__init__ (L644)                                                                   |  MISSED |
|   InvalidLocalEndpointError (L653)                                                                                       | COVERED |
|     InvalidLocalEndpointError.__init__ (L656)                                                                            |  MISSED |
|   LocalEndpointImageBuildError (L670)                                                                                    | COVERED |
|     LocalEndpointImageBuildError.__init__ (L673)                                                                         |  MISSED |
|   CloudArtifactsNotSupportedError (L684)                                                                                 | COVERED |
|     CloudArtifactsNotSupportedError.__init__ (L690)                                                                      |  MISSED |
|   RequiredLocalArtifactsNotFoundError (L715)                                                                             | COVERED |
|     RequiredLocalArtifactsNotFoundError.__init__ (L718)                                                                  |  MISSED |
|   JobParsingError (L748)                                                                                                 | COVERED |
|     JobParsingError.__init__ (L751)                                                                                      |  MISSED |
|   PipelineChildJobError (L762)                                                                                           | COVERED |
|     PipelineChildJobError.__init__ (L769)                                                                                |  MISSED |
|   InvalidVSCodeRequestError (L792)                                                                                       | COVERED |
|     InvalidVSCodeRequestError.__init__ (L798)                                                                            |  MISSED |
|   VSCodeCommandNotFound (L807)                                                                                           | COVERED |
|     VSCodeCommandNotFound.__init__ (L810)                                                                                |  MISSED |
|--------------------------------------------------------------------------------------------------------------------------|---------|
| ai\ml\_arm_deployments\__init__.py (module)                                                                              |  MISSED |
|--------------------------------------------------------------------------------------------------------------------------|---------|
| ai\ml\_arm_deployments\arm_deployment_executor.py (module)                                                               |  MISSED |
|   ArmDeploymentExecutor (L38)                                                                                            |  MISSED |
|     ArmDeploymentExecutor.__init__ (L39)                                                                                 |  MISSED |
|     ArmDeploymentExecutor.deploy_resource (L71)                                                                          |  MISSED |
|     ArmDeploymentExecutor._get_poller (L134)                                                                             |  MISSED |
|     ArmDeploymentExecutor._check_deployment_status (L146)                                                                |  MISSED |
|--------------------------------------------------------------------------------------------------------------------------|---------|
| ai\ml\_arm_deployments\arm_helper.py (module)                                                                            |  MISSED |
|   get_template (L50)                                                                                                     |  MISSED |
|--------------------------------------------------------------------------------------------------------------------------|---------|
| ai\ml\_arm_deployments\arm_templates\__init__.py (module)                                                                |  MISSED |
|--------------------------------------------------------------------------------------------------------------------------|---------|
| ai\ml\_artifacts\__init__.py (module)                                                                                    |  MISSED |
|--------------------------------------------------------------------------------------------------------------------------|---------|
| ai\ml\_artifacts\_artifact_utilities.py (module)                                                                         |  MISSED |
|   _get_datastore_name (L52)                                                                                              |  MISSED |
|   get_datastore_info (L64)                                                                                               | COVERED |
|   list_logs_in_datastore (L103)                                                                                          | COVERED |
|   _get_default_datastore_info (L154)                                                                                     |  MISSED |
|   upload_artifact (L158)                                                                                                 | COVERED |
|   download_artifact (L202)                                                                                               | COVERED |
|   download_artifact_from_storage_url (L227)                                                                              | COVERED |
|   download_artifact_from_aml_uri (L248)                                                                                  | COVERED |
|   aml_datastore_path_exists (L265)                                                                                       | COVERED |
|   _upload_to_datastore (L279)                                                                                            |  MISSED |
|   _upload_and_generate_remote_uri (L312)                                                                                 |  MISSED |
|   _update_metadata (L338)                                                                                                |  MISSED |
|   _update_blob_metadata (L347)                                                                                           |  MISSED |
|   _update_gen2_metadata (L355)                                                                                           |  MISSED |
|   _check_and_upload_path (L363)                                                                                          | COVERED |
|   _check_and_upload_env_build_context (L422)                                                                             |  MISSED |
|--------------------------------------------------------------------------------------------------------------------------|---------|
| ai\ml\_artifacts\_blob_storage_helper.py (module)                                                                        |  MISSED |
|   BlobStorageClient (L46)                                                                                                |  MISSED |
|     BlobStorageClient.__init__ (L47)                                                                                     |  MISSED |
|     BlobStorageClient.upload (L65)                                                                                       | COVERED |
|     BlobStorageClient.check_blob_exists (L142)                                                                           | COVERED |
|     BlobStorageClient._set_confirmation_metadata (L198)                                                                  |  MISSED |
|     BlobStorageClient.download (L203)                                                                                    | COVERED |
|     BlobStorageClient.list (L253)                                                                                        | COVERED |
|     BlobStorageClient.exists (L262)                                                                                      | COVERED |
|   _blob_is_hdi_folder (L294)                                                                                             | COVERED |
|--------------------------------------------------------------------------------------------------------------------------|---------|
| ai\ml\_artifacts\_constants.py (module)                                                                                  |  MISSED |
|--------------------------------------------------------------------------------------------------------------------------|---------|
| ai\ml\_artifacts\_fileshare_storage_helper.py (module)                                                                   |  MISSED |
|   FileStorageClient (L36)                                                                                                |  MISSED |
|     FileStorageClient.__init__ (L37)                                                                                     |  MISSED |
|     FileStorageClient.upload (L64)                                                                                       | COVERED |
|     FileStorageClient.upload_file (L117)                                                                                 | COVERED |
|     FileStorageClient.upload_dir (L160)                                                                                  | COVERED |
|     FileStorageClient.exists (L210)                                                                                      | COVERED |
|     FileStorageClient.download (L240)                                                                                    | COVERED |
|     FileStorageClient._set_confirmation_metadata (L254)                                                                  |  MISSED |
|     FileStorageClient._get_asset_metadata (L263)                                                                         |  MISSED |
|   delete (L298)                                                                                                          | COVERED |
|   recursive_download (L319)                                                                                              | COVERED |
|--------------------------------------------------------------------------------------------------------------------------|---------|
| ai\ml\_artifacts\_gen2_storage_helper.py (module)                                                                        |  MISSED |
|   Gen2StorageClient (L36)                                                                                                |  MISSED |
|     Gen2StorageClient.__init__ (L37)                                                                                     |  MISSED |
|     Gen2StorageClient.upload (L56)                                                                                       | COVERED |
|     Gen2StorageClient.check_blob_exists (L132)                                                                           | COVERED |
|     Gen2StorageClient._set_confirmation_metadata (L167)                                                                  |  MISSED |
|     Gen2StorageClient.download (L170)                                                                                    | COVERED |
|     Gen2StorageClient.list (L213)                                                                                        | COVERED |
|     Gen2StorageClient.exists (L218)                                                                                      | COVERED |
|--------------------------------------------------------------------------------------------------------------------------|---------|
| ai\ml\_file_utils\__init__.py (module)                                                                                   |  MISSED |
|--------------------------------------------------------------------------------------------------------------------------|---------|
| ai\ml\_file_utils\file_utils.py (module)                                                                                 |  MISSED |
|   get_root_path (L8)                                                                                                     | COVERED |
|   traverse_up_path_and_find_file (L19)                                                                                   | COVERED |
|--------------------------------------------------------------------------------------------------------------------------|---------|
| ai\ml\_internal\__init__.py (module)                                                                                     |  MISSED |
|--------------------------------------------------------------------------------------------------------------------------|---------|
| ai\ml\_internal\_setup.py (module)                                                                                       |  MISSED |
|   _set_registered (L31)                                                                                                  |  MISSED |
|   _enable_internal_components (L36)                                                                                      |  MISSED |
|   _register_node (L51)                                                                                                   |  MISSED |
|   enable_internal_components_in_pipeline (L60)                                                                           |  MISSED |
|--------------------------------------------------------------------------------------------------------------------------|---------|
| ai\ml\_internal\_schema\__init__.py (module)                                                                             |  MISSED |
|--------------------------------------------------------------------------------------------------------------------------|---------|
| ai\ml\_internal\_schema\command.py (module)                                                                              |  MISSED |
|   CommandSchema (L14)                                                                                                    | COVERED |
|     CommandSchema.Meta (L22)                                                                                             | COVERED |
|   DistributedSchema (L37)                                                                                                | COVERED |
|     DistributedSchema.Meta (L43)                                                                                         | COVERED |
|--------------------------------------------------------------------------------------------------------------------------|---------|
| ai\ml\_internal\_schema\component.py (module)                                                                            |  MISSED |
|   NodeType (L28)                                                                                                         |  MISSED |
|     NodeType.all_values (L46)                                                                                            |  MISSED |
|   InternalComponentSchema (L54)                                                                                          |  MISSED |
|     InternalComponentSchema.Meta (L55)                                                                                   |  MISSED |
|     InternalComponentSchema.get_skip_fields (L104)                                                                       |  MISSED |
|     InternalComponentSchema._serialize (L107)                                                                            |  MISSED |
|     InternalComponentSchema.add_param_overrides (L123)                                                                   |  MISSED |
